TTFT,T/S,NPC TOKENS,USER TOKENS,TOTAL TIME,ALL TOKENS
0.026145129000013867,113.98298037481806,8,13,0.0963310460000173,253
0.02401032599999553,113.14666999165341,14,17,0.14774353000001383,284
0.022802595000001702,117.75095326020107,16,20,0.15868259900000226,320
0.022975957999989305,118.1136443528944,22,18,0.20923725000000104,360
0.02307292900002267,117.82183548969617,17,22,0.1673585780000053,399
0.026583721999998033,117.71294935218006,27,62,0.2559552580000002,488
0.043019533999995474,115.16613222022555,32,70,0.32087900000001923,590
0.027859317999997302,113.46124385354713,29,64,0.283453202000004,683
0.027464369000000488,113.55358851861041,27,60,0.2652375680000034,770
0.04539583300001482,111.15413644061424,37,71,0.37826693600001704,878
0.04284901100001548,68.37622347397527,23,13,0.3792232480000166,268
0.041910643000022674,68.14079911019915,11,17,0.20334109500001318,296
0.042753380000021934,68.65855974652735,23,20,0.3777443860000176,339
0.0423465690000171,68.22379892121788,20,18,0.33549940300000003,377
0.04327916900001583,68.30144272568346,24,22,0.394662669000013,423
0.04663084699998876,68.16405701872654,35,62,0.5600979369999948,520
0.06722034599999915,66.9042607620681,23,70,0.4109951629999955,613
0.048704129999975976,66.7124184994262,39,64,0.6333029329999817,716
0.0512290829999813,65.35879884300783,41,60,0.6785355929999923,817
0.06925608299999908,65.74770727620904,44,71,0.7384809400000165,932
0.05686499399999434,53.68238310446671,83,13,1.602996055999995,328
0.05871528199998011,53.383051903960535,53,17,1.051539747999982,398
0.05888626800000907,53.27536779946955,72,20,1.4103551169999946,490
0.059429764000014984,52.395474756002145,65,18,1.2999949139999956,573
0.06052908800000978,52.73375231663258,66,22,1.3120994219999886,661
0.06479920399999628,52.117059842840625,95,63,1.8876188389999982,819
0.0979800570000009,51.62047733248885,89,70,1.8221020450000083,978
0.07181750999998826,51.538751348541304,128,63,2.555385634000004,1169
0.06942704200000094,51.12137565142526,128,59,2.5732720259999837,1356
0.10473428900002091,50.64982035808616,128,71,2.6318903400000124,1555
0.2240496660000133,44.28094300437402,26,229,0.8112097000000063,256
0.29505041599998094,43.352363378720625,33,10,1.0562545909999983,299
0.2909443309999915,43.251591309585436,73,13,1.9787435029999756,385
0.30110351900000865,43.35534133136972,86,11,2.2847114749999946,482
0.3320762169999796,42.67119000825827,85,16,2.324052535999982,583
0.3546187629999906,42.38581219615889,110,61,2.949826788999985,754
0.43409194299999854,41.724178783829736,85,65,2.471280030999992,904
0.42423222200000055,41.84418448984581,128,58,3.483199711999987,1090
0.45580191200002673,41.6645000448513,128,55,3.527961661000006,1273
0.4661437490000253,40.79003921489047,123,66,3.48158581200002,1462
0.037006675000014866,93.3321456644986,18,10,0.22986627200000953,236
0.036193609000008564,92.41779541618068,21,11,0.26342257400000335,268
0.037881291000019246,91.80790477489626,49,14,0.5716043959999979,331
0.038157165000001214,91.93065200810722,51,12,0.5929231640000125,394
0.035530386999994334,91.7458684494325,58,16,0.6677114430000017,468
0.0414994550000074,89.57836905688349,100,57,1.1578403869999931,625
0.04206037699998433,89.15847720968326,101,63,1.1748747000000037,789
0.042649940000018205,88.80996538453293,128,56,1.483929637000017,973
0.04621733600001221,87.54170479122078,128,52,1.5083775750000257,1153
0.05979662799998664,86.34750556718575,128,65,1.5421787669999958,1346
0.10554585100001646,36.026439215788976,75,12,2.1873502600000165,296
0.10822683899999674,35.67297004480074,67,15,1.98639958199999,378
0.10895429299998227,35.67636262403772,88,18,2.5755734640000014,484
0.10918291599998042,34.86488422223381,89,16,2.6618946769999923,589
0.1114541949999932,34.73510474163026,86,20,2.587335601999996,695
0.11859230900000739,34.037736929759305,103,61,3.1446454280000182,859
0.1711437099999955,33.874246806706246,116,68,3.595574094,1043
0.1288751709999758,33.614986582914135,128,61,3.9367005789999894,1232
0.12944612199999028,32.89498026597362,128,57,4.0206173269999965,1417
0.17963723399998344,32.471752938813886,128,69,4.121524825999984,1614
0.1978594800000053,47.771864505615554,63,13,1.5166273500000216,310
0.26566011799999956,47.806343587530364,76,17,1.855407299999996,403
0.33204851799999346,47.87436381679676,71,20,1.8150969459999828,494
0.3583672409999963,47.71672546726006,81,18,2.0558852330000263,593
0.47693690799997057,47.6645921298391,80,22,2.155331633000003,695
0.5551160320000008,47.47054012372311,110,63,2.8723426680000443,868
0.6907160150000209,47.370553071917584,118,70,3.181715008000026,1056
0.8341626800000199,47.404479516380036,121,64,3.38666407300002,1241
0.9511058990000265,47.140920126157056,109,59,3.2633221159999835,1409
1.0627730539999902,47.237610533157714,122,71,3.6454608450000023,1602
