TTFT,T/S,NPC TOKENS,USER TOKENS,TOTAL TIME,ALL TOKENS
0.027630226999995955,132.73875702125088,11,13,0.11049976899999336,256
0.024359635999999796,131.44053835294292,13,17,0.12326367400000038,286
0.02465660700000427,131.26841748106304,11,20,0.10845437200000418,317
0.024125515000001485,134.93279773208764,18,18,0.1575252539999994,353
0.022871009999995806,147.02667705937932,18,22,0.14529777199999927,393
0.031221910000006403,159.07653238496104,44,62,0.3078183340000038,499
0.036282298000003266,168.92897911421275,38,70,0.2612289010000026,607
0.017810723000003748,176.07520054432118,33,64,0.20523064300000016,704
0.020455562000002203,175.86388627621272,28,60,0.17966960300000068,792
0.031138540000000603,176.60790985727107,33,71,0.2179931379999971,896
0.0245730970000011,107.82621323039079,16,13,0.172960020000005,261
0.023615712999998095,110.5899999722388,10,17,0.11403980200000063,288
0.02203430699999842,113.61419869554658,33,20,0.31249096100000173,341
0.02206665799999996,113.48468676725773,18,18,0.1806783660000022,377
0.021777126000003477,113.92566664686194,30,22,0.28510672400000203,429
0.028457549999998832,113.4183180246861,35,62,0.337049676999996,526
0.04419291500000355,113.0984356964651,22,70,0.23871373100000426,618
0.024819337000003827,113.66200121056939,27,64,0.26236574400000023,709
0.029462354000003188,113.11475861500345,28,60,0.276998576000004,797
0.045995051999994985,112.95036379023148,19,71,0.21421053499999942,887
0.024303766000002724,105.83282938730068,82,13,0.7991106049999956,327
0.022359627999989584,106.17590737003489,59,17,0.578041245999998,403
0.022666690000008316,105.99725849806376,76,20,0.7396663660000087,499
0.023051380999987714,104.73513136888367,79,18,0.7773350579999914,596
0.023255742000003465,104.68427502594378,89,22,0.8734311860000048,707
0.02967294399999787,103.34704410109426,115,63,1.1424285240000103,885
0.044909318999998504,103.39261617964299,128,69,1.2829087500000043,1082
0.04548158200000785,104.28317646848859,128,64,1.272908712000003,1274
0.030820163000001344,103.50525553312418,128,59,1.267472343999998,1461
0.04625938099999871,102.51700495413472,128,71,1.294832728000003,1660
0.11928066900000545,76.02672009372375,26,229,0.46126569700000175,256
0.13032453800001065,75.7490605963049,33,10,0.5659735050000023,299
0.13243532799999969,75.70880258402322,80,13,1.1891156249999995,392
0.13668788500000062,75.57458060600904,96,11,1.4069562640000015,499
0.14102707499999667,74.64864263289797,69,16,1.0653573449999953,584
0.14309805300000278,74.83024267754313,113,61,1.6531826920000015,758
0.18901125499999694,74.06442520602575,68,65,1.1071308490000007,891
0.18476078000000484,74.42744585283835,128,57,1.9045564620000022,1076
0.19932111899998972,74.70945904322942,128,55,1.9126249179999917,1259
0.20742051999999944,73.32901829933886,91,66,1.448402631999997,1416
0.01597347400000615,165.45952605370186,18,10,0.12476140799999769,236
0.01436524000000361,165.96223367936219,22,11,0.14692551900000694,269
0.014395820000004278,166.40661447776384,55,14,0.34491152799999725,338
0.015094503000000259,166.41072749108804,53,12,0.33358358600000315,403
0.01490011299999594,166.4285288077679,74,16,0.4595354199999946,493
0.022887783000001605,162.76114192732214,98,57,0.6249971000000016,648
0.021164933000008546,160.619371403729,119,63,0.7620469259999965,830
0.023377783000000818,160.60211721194207,128,56,0.8203784839999884,1014
0.02472205800000893,160.30258856883069,128,52,0.8232119710000063,1194
0.03383959700001071,158.625706535009,128,65,0.8407705970000023,1387
0.05859440000000404,62.89798790094117,49,12,0.8376336289999955,270
0.03914184500000317,63.45519857849228,52,15,0.858617651000003,337
0.03844637500000658,63.41536004063529,53,18,0.8742060390000006,408
0.03796904099999665,63.58210693475448,52,16,0.8558091929999989,476
0.03892966200000103,62.88427592109468,62,20,1.0248677059999949,558
0.05334404600000653,62.9209743402822,68,61,1.1340647549999971,687
0.07068483899999478,62.408189021579936,80,68,1.3525678939999892,835
0.05410128100000122,62.879217653551315,128,61,2.0897500180000037,1024
0.05549105600000814,63.06581419823871,128,57,2.085116799000005,1209
0.0732586150000003,62.46147966602561,115,70,1.9143933529999941,1394
0.09301576800000078,84.62035344865026,37,13,0.5302628190000007,284
0.10250714499998992,86.99679966032895,45,17,0.619767551999999,346
0.10986343300000101,86.96447493744753,49,20,0.673311898999998,415
0.13177371400000482,86.72102128296028,39,18,0.5814916650000015,472
0.13798568400000022,86.43129783834573,49,22,0.7049099489999975,543
0.18587087700001348,86.4765858660366,68,63,0.9722108939999998,674
0.21083446400000128,86.3662066944231,52,70,0.8129218079999987,796
0.24671712800000023,86.3952231481812,79,64,1.1611195350000116,939
0.2737915539999989,86.36333875282928,63,59,1.0032677519999993,1061
0.32522938600000373,86.42544695601606,58,71,0.9963280270000041,1190
